title,event_url,image_url,status,production_type,date_time,origin,market_presence,age_of_production
The Lighthouse Series: Group C,https://ci.ovationtix.com/35583/production/1158586,https://web.ovationtix.com/trs/api/rest/ClientFile(480437),upcoming,N/A,18 July 2025 - 7:00 pm,N/A,N/A,N/A
The Lighthouse Series: Group C,https://ci.ovationtix.com/35583/production/1158586,https://web.ovationtix.com/trs/api/rest/ClientFile(480437),upcoming,N/A,19 July 2025 - 7:00 pm,N/A,N/A,N/A
The Lighthouse Series: Group C,https://ci.ovationtix.com/35583/production/1158586,https://web.ovationtix.com/trs/api/rest/ClientFile(480437),upcoming,N/A,20 July 2025 - 5:00 pm,N/A,N/A,N/A
Unreal Magic: a night of mind-bending illusion,https://ci.ovationtix.com/35583/production/1241190,https://web.ovationtix.com/trs/api/rest/ClientFile(573952),upcoming,N/A,22 August 2025 - 9:00 pm,N/A,N/A,N/A
Kyle Ayers: Hard to Say,https://ci.ovationtix.com/35583/production/1242797,https://web.ovationtix.com/trs/api/rest/ClientFile(575376),upcoming,N/A,4 September 2025 - 7:00 pm,N/A,N/A,N/A
Kyle Ayers: Hard to Say,https://ci.ovationtix.com/35583/production/1242797,https://web.ovationtix.com/trs/api/rest/ClientFile(575376),upcoming,N/A,5 September 2025 - 7:00 pm,N/A,N/A,N/A
Kyle Ayers: Hard to Say,https://ci.ovationtix.com/35583/production/1242797,https://web.ovationtix.com/trs/api/rest/ClientFile(575376),upcoming,N/A,6 September 2025 - 7:00 pm,N/A,N/A,N/A
Kyle Ayers: Hard to Say,https://ci.ovationtix.com/35583/production/1242797,https://web.ovationtix.com/trs/api/rest/ClientFile(575376),upcoming,N/A,7 September 2025 - 5:00 pm,N/A,N/A,N/A
Kyle Ayers: Hard to Say,https://ci.ovationtix.com/35583/production/1242797,https://web.ovationtix.com/trs/api/rest/ClientFile(575376),upcoming,N/A,8 September 2025 - 7:00 pm,N/A,N/A,N/A
Kyle Ayers: Hard to Say,https://ci.ovationtix.com/35583/production/1242797,https://web.ovationtix.com/trs/api/rest/ClientFile(575376),upcoming,N/A,9 September 2025 - 7:00 pm,N/A,N/A,N/A
Kyle Ayers: Hard to Say,https://ci.ovationtix.com/35583/production/1242797,https://web.ovationtix.com/trs/api/rest/ClientFile(575376),upcoming,N/A,10 September 2025 - 7:00 pm,N/A,N/A,N/A
Kyle Ayers: Hard to Say,https://ci.ovationtix.com/35583/production/1242797,https://web.ovationtix.com/trs/api/rest/ClientFile(575376),upcoming,N/A,11 September 2025 - 7:00 pm,N/A,N/A,N/A
Kyle Ayers: Hard to Say,https://ci.ovationtix.com/35583/production/1242797,https://web.ovationtix.com/trs/api/rest/ClientFile(575376),upcoming,N/A,12 September 2025 - 7:00 pm,N/A,N/A,N/A
Kyle Ayers: Hard to Say,https://ci.ovationtix.com/35583/production/1242797,https://web.ovationtix.com/trs/api/rest/ClientFile(575376),upcoming,N/A,13 September 2025 - 7:00 pm,N/A,N/A,N/A
